open_time,open,high,low,close,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T,predicted_r,predicted_sigma
2025-09-15 06:00:00,1445,1445,1445,1445,115268.01,116000,0.0119781,0.00718686,0.01916496,0.60432774,0.27657074
2025-09-15 07:00:00,1385,1385,1295,1295,115071.32,116000,0.01186402,0.00730094,0.01916496,0.68783164,0.25745597
2025-09-15 08:00:00,1230,1230,1230,1230,115231.69,116000,0.01174994,0.00741501,0.01916496,0.5697092,0.24617507
2025-09-15 09:00:00,1230,1230,1230,1230,115362.35,116000,0.01163587,0.00752909,0.01916496,0.53930396,0.23876098
2025-09-15 10:00:00,1230,1230,1230,1230,115445.45,116000,0.01152179,0.00764317,0.01916496,0.40418503,0.25033885
2025-09-15 11:00:00,1460,1690,1460,1670,116058.01,116000,0.01140771,0.00775724,0.01916496,0.057582323,0.3242517
2025-09-15 12:00:00,1670,1670,1670,1670,116520.0,116000,0.01129363,0.00787132,0.01916496,0.18639818,0.2541246
2025-09-15 13:00:00,2090,2090,1800,1800,116129.99,116000,0.01117956,0.0079854,0.01916496,0.01939443,0.35176408
2025-09-15 14:00:00,1580,1580,1580,1580,115806.62,116000,0.01106548,0.00809948,0.01916496,0.09011278,0.33302197
2025-09-15 15:00:00,1455,1500,1415,1415,114737.27,116000,0.0109514,0.00821355,0.01916496,1.1507062,0.27512443
2025-09-15 16:00:00,1230,1260,1220,1220,114868.59,116000,0.01083733,0.00832763,0.01916496,0.7763307,0.27179587
2025-09-15 17:00:00,1145,1145,1145,1145,114769.04,116000,0.01072325,0.00844171,0.01916496,0.7949375,0.26640102
2025-09-15 18:00:00,1235,1235,1235,1235,115070.0,116000,0.01060917,0.00855578,0.01916496,0.5426999,0.28788334
2025-09-15 19:00:00,1160,1160,1105,1105,114721.04,116000,0.01049509,0.00866986,0.01916496,0.75442225,0.27209464
2025-09-15 20:00:00,1105,1105,1105,1105,114664.08,116000,0.01038102,0.00878394,0.01916496,0.6905042,0.28770187
2025-09-15 21:00:00,1105,1105,1105,1105,114679.56,116000,0.01026694,0.00889802,0.01916496,0.5745901,0.30124658
2025-09-15 22:00:00,950,980,950,980,114842.9,116000,0.01015286,0.00901209,0.01916496,0.5166925,0.26697177
2025-09-15 23:00:00,980,980,980,980,114662.57,116000,0.01003879,0.00912617,0.01916496,0.5932587,0.27801818
2025-09-16 00:00:00,1010,1010,1010,1010,115120.03,116000,0.00992471,0.00924025,0.01916496,0.93835336,0.19887112
2025-09-16 01:00:00,1115,1115,1115,1115,115307.79,116000,0.00981063,0.00935432,0.01916496,1.1483281,0.17023572
2025-09-16 02:00:00,1215,1215,1215,1215,115307.78,116000,0.00969655,0.0094684,0.01916496,1.3329451,0.16602106
2025-09-16 03:00:00,1215,1215,1215,1215,115379.99,116000,0.00958248,0.00958248,0.01916496,1.2933823,0.16510113
2025-09-16 04:00:00,1215,1215,1215,1215,115528.0,116000,0.0094684,0.00969655,0.01916496,1.0479419,0.18679754
2025-09-16 05:00:00,1215,1215,1215,1215,115288.01,116000,0.00935432,0.00981063,0.01916496,1.3973022,0.16960345
2025-09-16 06:00:00,1215,1215,1215,1215,115349.71,116000,0.00924025,0.00992471,0.01916496,1.3805273,0.1662786
2025-09-16 07:00:00,1225,1225,1155,1155,115088.66,116000,0.00912617,0.01003879,0.01916496,1.1482222,0.22798046
2025-09-16 08:00:00,1320,1320,1155,1155,115024.24,116000,0.00901209,0.01015286,0.01916496,1.4042143,0.20554893
2025-09-16 09:00:00,1155,1155,1155,1155,115034.47,116000,0.00889802,0.01026694,0.01916496,1.4433476,0.20213923
2025-09-16 10:00:00,1145,1145,1145,1145,115307.25,116000,0.00878394,0.01038102,0.01916496,1.1570241,0.20554797
2025-09-16 11:00:00,1095,1290,1095,1290,115503.01,116000,0.00866986,0.01049509,0.01916496,1.3666879,0.18226819
2025-09-16 12:00:00,1290,1290,1290,1290,115936.65,116000,0.00855578,0.01060917,0.01916496,0.4250742,0.25801718
2025-09-16 13:00:00,1290,1290,1290,1290,115770.35,116000,0.00844171,0.01072325,0.01916496,0.7524142,0.24039532
2025-09-16 14:00:00,1290,1290,1290,1290,115840.0,116000,0.00832763,0.01083733,0.01916496,0.61175334,0.25213486
2025-09-16 15:00:00,1315,1315,1315,1315,115658.76,116000,0.00821355,0.0109514,0.01916496,1.144479,0.21451081
2025-09-16 16:00:00,1315,1315,1315,1315,115477.27,116000,0.00809948,0.01106548,0.01916496,1.5406071,0.18701528
2025-09-16 17:00:00,1100,1100,1100,1100,115372.46,116000,0.0079854,0.01117956,0.01916496,0.9312278,0.2383343
2025-09-16 18:00:00,1045,1045,1030,1030,115287.83,116000,0.00787132,0.01129363,0.01916496,0.8267625,0.24774534
2025-09-16 19:00:00,1040,1115,1040,1115,115439.36,116000,0.00775724,0.01140771,0.01916496,0.9036307,0.24321668
2025-09-16 20:00:00,1115,1115,950,950,115200.0,116000,0.00764317,0.01152179,0.01916496,0.7688655,0.2510367
2025-09-16 21:00:00,1015,1015,1015,1015,115296.86,116000,0.00752909,0.01163587,0.01916496,0.6554834,0.27027068
2025-09-16 22:00:00,1290,1355,1290,1355,115905.88,116000,0.00741501,0.01174994,0.01916496,0.7605269,0.26495722
2025-09-16 23:00:00,1375,1375,1335,1335,116068.06,116000,0.00730094,0.01186402,0.01916496,0.2546339,0.3006411
2025-09-17 00:00:00,1660,1830,1660,1825,116461.54,116000,0.00718686,0.0119781,0.01916496,0.009164621,0.40192023
2025-09-17 01:00:00,1825,1825,1825,1825,116418.86,116000,0.00707278,0.01209217,0.01916496,0.014932155,0.4105876
2025-09-17 02:00:00,1715,1925,1715,1920,116800.12,116000,0.0069587,0.01220625,0.01916496,0.08693876,0.37249696
2025-09-17 03:00:00,1920,1920,1920,1920,116839.47,116000,0.00684463,0.01232033,0.01916496,0.1211736,0.36566055
2025-09-17 04:00:00,1855,1855,1825,1845,116800.51,116000,0.00673055,0.01243441,0.01916496,0.070888974,0.36151814
2025-09-17 05:00:00,1975,1975,1925,1925,116855.58,116000,0.00661647,0.01254848,0.01916496,0.11452409,0.37151778
2025-09-17 06:00:00,1995,1995,1970,1970,116788.96,116000,0.0065024,0.01266256,0.01916496,0.033020522,0.4085506
2025-09-17 07:00:00,1880,1880,1880,1880,116560.01,116000,0.00638832,0.01277664,0.01916496,0.005608268,0.426788
2025-09-17 08:00:00,1740,1815,1740,1815,116662.25,116000,0.00627424,0.01289071,0.01916496,0.0046594087,0.39683944
2025-09-17 09:00:00,1780,2010,1765,2010,116686.43,116000,0.00616016,0.01300479,0.01916496,0.003609598,0.4509511
2025-09-17 10:00:00,1670,1670,1630,1630,116372.04,116000,0.00604609,0.01311887,0.01916496,0.044682447,0.3939597
2025-09-17 11:00:00,1570,1570,1570,1570,116313.49,116000,0.00593201,0.01323295,0.01916496,0.065138295,0.38776895
2025-09-17 12:00:00,1905,2110,1850,2110,117108.3,116000,0.00581793,0.01334702,0.01916496,0.091883644,0.40889543
2025-09-17 13:00:00,2110,2110,2110,2110,117234.27,116000,0.00570386,0.0134611,0.01916496,0.10276641,0.3874529
2025-09-17 14:00:00,2110,2110,2110,2110,117162.48,116000,0.00558978,0.01357518,0.01916496,0.09131831,0.40781966
2025-09-17 15:00:00,1875,1875,1875,1875,116860.0,116000,0.0054757,0.01368925,0.01916496,0.03398001,0.4047361
2025-09-17 16:00:00,1875,1875,1875,1875,116550.01,116000,0.00536162,0.01380333,0.01916496,0.01285746,0.46539286
2025-09-17 17:00:00,1575,1575,1575,1575,116359.14,116000,0.00524755,0.01391741,0.01916496,0.08401539,0.40530634
2025-09-17 18:00:00,1575,1585,1560,1560,116258.13,116000,0.00513347,0.01403149,0.01916496,0.3967245,0.39159915
2025-09-17 19:00:00,1610,1610,1610,1610,116204.94,116000,0.00501939,0.01414556,0.01916496,0.64577734,0.3965031
2025-09-17 20:00:00,1475,1565,1475,1565,116107.19,116000,0.00490532,0.01425964,0.01916496,0.76981974,0.3938973
2025-09-17 21:00:00,1290,1300,1290,1300,115606.61,116000,0.00479124,0.01437372,0.01916496,0.19654289,0.44989616
2025-09-17 22:00:00,1290,1290,1290,1290,115875.32,116000,0.00467716,0.01448779,0.01916496,0.5103186,0.3839412
2025-09-17 23:00:00,1245,1245,1245,1245,115640.77,116000,0.00456308,0.01460187,0.01916496,0.22411488,0.4365779
2025-09-18 00:00:00,1330,1350,1305,1350,115504.48,116000,0.00444901,0.01471595,0.01916496,0.23413004,0.49700043
2025-09-18 01:00:00,1470,1515,700,700,115226.93,116000,0.00433493,0.01483003,0.01916496,1.1582781,0.26162302
2025-09-18 02:00:00,890,890,885,885,115652.02,116000,0.00422085,0.0149441,0.01916496,0.42188543,0.31822962
2025-09-18 03:00:00,935,970,935,970,115621.47,116000,0.00410678,0.01505818,0.01916496,0.37407157,0.3607762
2025-09-18 04:00:00,995,995,995,995,116038.39,116000,0.0039927,0.01517226,0.01916496,1.7907993,0.14815341
2025-09-18 05:00:00,1000,1330,1000,1330,116559.69,116000,0.00387862,0.01528633,0.01916496,0.11551246,0.34436038
2025-09-18 06:00:00,1310,1335,1205,1205,116447.59,116000,0.00376454,0.01540041,0.01916496,0.8941419,0.24976568
2025-09-18 07:00:00,1135,1175,1105,1175,116350.65,116000,0.00365047,0.01551449,0.01916496,1.602163,0.18036577
2025-09-18 08:00:00,1175,1175,1175,1175,116634.84,116000,0.00353639,0.01562856,0.01916496,0.13116324,0.2840291
2025-09-18 09:00:00,1175,1175,1175,1175,116950.47,116000,0.00342231,0.01574264,0.01916496,0.114916794,0.19739181
2025-09-18 10:00:00,1545,2110,1545,2110,117581.66,116000,0.00330824,0.01585672,0.01916496,0.003355726,0.4289977
2025-09-18 11:00:00,2110,2110,2110,2110,117605.16,116000,0.00319416,0.0159708,0.01916496,0.0026041402,0.42924756
2025-09-18 12:00:00,2110,2110,2110,2110,117273.36,116000,0.00308008,0.01608487,0.01916496,0.002867368,0.5348223
2025-09-18 13:00:00,2110,2110,2110,2110,117102.43,116000,0.00296601,0.01619895,0.01916496,0.013450717,0.5892814
2025-09-18 14:00:00,1435,1435,1435,1435,117086.01,116000,0.00285193,0.01631303,0.01916496,0.10048751,0.30075455
2025-09-18 15:00:00,1530,1530,1530,1530,117229.59,116000,0.00273785,0.0164271,0.01916496,0.005342789,0.31334186
2025-09-18 16:00:00,1530,1530,1530,1530,117298.81,116000,0.00262377,0.01654118,0.01916496,0.0024163262,0.29223406
2025-09-18 17:00:00,1400,1400,1400,1400,117190.47,116000,0.0025097,0.01665526,0.01916496,0.7201156,0.07673079
2025-09-18 18:00:00,1495,1495,1480,1480,117063.4,116000,0.00239562,0.01676934,0.01916496,1.5020803,0.04734827
2025-09-18 19:00:00,1275,1275,1275,1275,117124.69,116000,0.00228154,0.01688341,0.01916496,0.5704263,0.047707237
2025-09-18 20:00:00,1295,1565,1295,1560,117432.04,116000,0.00216747,0.01699749,0.01916496,0.5055722,0.039458506
2025-09-18 21:00:00,1560,1560,1560,1560,117640.54,116000,0.00205339,0.01711157,0.01916496,0.0028416237,0.09733874
2025-09-18 22:00:00,1660,1660,1545,1640,117583.56,116000,0.00193931,0.01722564,0.01916496,0.24695797,0.03474255
2025-09-18 23:00:00,1860,2000,1655,1820,117565.6,116000,0.00182523,0.01733972,0.01916496,1.1967382,0.021752605
2025-09-19 00:00:00,1820,1820,1820,1820,117579.93,116000,0.00171116,0.0174538,0.01916496,1.2156227,0.021177363
2025-09-19 01:00:00,1820,1820,1820,1820,117822.97,116000,0.00159708,0.01756788,0.01916496,0.009571793,0.063990526
2025-09-19 02:00:00,1735,1735,1445,1535,117450.21,116000,0.001483,0.01768195,0.01916496,0.49292237,0.032995522
2025-09-19 03:00:00,1525,1640,1525,1640,117521.14,116000,0.00136893,0.01779603,0.01916496,0.7499671,0.026733432
2025-09-19 04:00:00,1415,1415,1410,1410,117299.21,116000,0.00125485,0.01791011,0.01916496,0.7606906,0.056334674
2025-09-19 05:00:00,1410,1410,1410,1410,117061.02,116000,0.00114077,0.01802418,0.01916496,2.660208,0.014592672
2025-09-19 06:00:00,930,930,930,930,117073.53,116000,0.00102669,0.01813826,0.01916496,0.006349034,0.09088062
2025-09-19 07:00:00,1365,1450,1360,1450,117424.2,116000,0.00091262,0.01825234,0.01916496,0.25115517,0.06397473
2025-09-19 08:00:00,1450,1450,1450,1450,117241.32,116000,0.00079854,0.01836642,0.01916496,2.255692,0.06574638
2025-09-19 09:00:00,1210,1210,1210,1210,117112.8,116000,0.00068446,0.01848049,0.01916496,0.00030863535,0.3703685
2025-09-19 10:00:00,1090,1090,1090,1090,116977.58,116000,0.00057039,0.01859457,0.01916496,1.7258959,0.017035319
2025-09-19 11:00:00,690,1070,690,1070,116990.65,116000,0.00045631,0.01870865,0.01916496,0.005227594,0.087170854
2025-09-19 12:00:00,1070,1070,1070,1070,116894.83,116000,0.00034223,0.01882272,0.01916496,4.368418,0.0120794205
